target_field,source_id,source_field_or_record,source_year_mapping,join_key,transformation,score_or_evidence_status,missing_value_rule,comparability_or_scope_limit
country,sample_design,country,fixed sample; 2017/2022,country name,12-economy research sample; no external join,identity,not applicable,Not a population sample.
iso3,sample_design,ISO3,fixed sample; 2017/2022,ISO3,standardized sample key,identity,not applicable,Used as the cross-source country key after source-specific mapping.
year,sample_design,target_year,target year,ISO3 + target year,fixed target years 2017 and 2022,identity,not applicable,"For CDIS, source year may differ and is retained separately."
p1_unga_relative_alignment,unga_ideal_points,"idealpointall for sample economy, China and United States",2017→2016–2018; 2022→2021–2023,ISO3 + UNGA year window,mean absolute distances over the three-year window; China distance / (China + US distance),core_score,No imputation; missing window would remain missing,Centered windows are descriptive; 2022 includes 2023 and is not a no-look-ahead forecast.
p2_us_formal_alliance,atop_v5_1; p2_us_state_nato_2022; oas_mexico_treaty_status,ATOP defense obligation (2017); official 2022 source table; OAS Mexico status exception,2017→2017; 2022→2022,country + ISO3 + target year,"2017 ATOP observed value, except Mexico active-treaty audit; 2022 target-year treaty/NATO evidence",core_score_with_source_break,Not inferred from absent ATOP 2022; source-specific coding retained,Source construction differs by year; zeros mean no qualifying tie found in selected evidence.
p2_source_year,p2_source_logic,source observation year,2017 or 2022,country + ISO3 + target year,recorded separately from target year,provenance,Never forward-filled,"ATOP 2018 is only a separate reference, not a target-year observation."
p2_measurement_source,p2_source_logic,source_id / coding pathway,2017 vs 2022,country + ISO3 + target year,"labels ATOP, OAS exception, or State/NATO pathway",provenance,Not applicable,Explicitly exposes the cross-year source break.
p2_evidence_source_url,p2_source_logic,source_url,target-year evidence,country + ISO3 + target year,per-row official evidence links; semicolon-separated where multiple,provenance,Blank is a failure for coded P2 rows,URLs identify source evidence; an audit note states the scope of negative findings.
p2_treaty_or_basis,p2_source_logic,treaty_or_basis,target-year evidence,country + ISO3 + target year,short legal/institutional basis label,provenance,Blank is not allowed for coded rows,"Descriptive label, not a legal opinion."
p2_coding_note,p2_source_logic,coding_note,target-year evidence,country + ISO3 + target year,human-readable coding scope and exception,provenance,Blank is not allowed for coded rows,A zero is limited to selected formal defense-tie sources.
p2_oas_adjustment,oas_mexico_treaty_status,Rio Treaty effective status,effective date 2004-09-06 applied to 2017,Mexico + treaty status,true only for Mexico 2017 raw ATOP conflict correction,audit flag,False otherwise; not a missing-value substitute,Raw ATOP value is retained alongside the adjustment.
p2_atop_observed,atop_v5_1,US dyad defense-obligation field,2017 target; 2018 separate reference,COW code + year → ISO3,preserved as source observation before OAS audit,raw/reference,Source NA retained,ATOP coverage ends in 2018.
p2_atop_source_year,atop_v5_1,ATOP observation year,2017 observed; 2018 structural,country + source year,preserved separately,provenance,Source NA retained,Never relabel 2018 as 2022.
p2_atop_structural_2018,atop_v5_1,2018 US dyad structural value,2018,COW code + 2018 → ISO3,displayed only as historical cross-reference,reference_only,Source NA retained,Not a dynamic 2022 alliance measure.
p2_official_2022,p2_us_state_nato_2022,p2_official_active_defense_tie,2022,country + ISO3,line-level target-year source coding,core_score_2022,Must have exactly one row per sample economy,Official-source reconstruction; source break versus ATOP 2017 is disclosed.
n1_electronics_foreign_va_share,oecd_tiva_2025,EXGR_FVA; activity C26_27; counterpart World,2017 and 2022,REF_AREA ISO3 + TIME_PERIOD,retain percent-of-gross-exports value,core_score,Missing stays null,"Broad electronics/electrical activity, not HS8542-only."
n2_china_hs8542_import_share,comtrade_hs8542,reporter self-reported imports from China / World imports,2017 and 2022,UN M49 reporter → ISO3 + year,HS8542 four-digit reporter import share,core_score,No mirror-flow substitution; missing source data remain missing,Reporter-year classification is retained; partner aggregates excluded.
n3_us_hs8542_export_share,comtrade_hs8542,reporter self-reported exports to United States / World exports,2017 and 2022,UN M49 reporter → ISO3 + year,HS8542 four-digit reporter export share,core_score,No mirror-flow substitution; missing source data remain missing,Trade destination is not a claim about re-export origin.
n4_dual_dependency,derived_from_comtrade_hs8542,N2 × N3,2017 and 2022,country + ISO3 + year,product of two same-row country-year shares,core_score_derived,Null if either component is null,Interaction indicator; overlaps conceptually with N2 and N3.
v1_hs8542_import_hhi,comtrade_hs8542,real partner import values / world import denominator,2017 and 2022,reporter + year + genuine partner,sum of squared partner shares after removing World/aggregate partners,core_score,No synthetic partners; source coverage preserved,Partner aggregation and reporter classification affect comparability.
v2_effective_supplier_count,comtrade_hs8542,genuine partner import shares,2017 and 2022,reporter + year + genuine partner,count partners with import share ≥1%,core_score,No synthetic partners; missing remains missing,Threshold measure; not a count of firm-level qualified suppliers.
avg_distance_to_china,unga_ideal_points,idealpointall,2017→2016–2018; 2022→2021–2023,ISO3 + UNGA year window,mean absolute distance over target window,intermediate,No imputation,Source-window years are also stored.
avg_distance_to_us,unga_ideal_points,idealpointall,2017→2016–2018; 2022→2021–2023,ISO3 + UNGA year window,mean absolute distance over target window,intermediate,No imputation,Source-window years are also stored.
