country,iso3,year,reviewed_candidate_literal_count,direct_semiconductor_increase_events,p3_direct_increase_within_reviewed_subset,scope,scoring_status,notes
Malaysia,MYS,2017,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Vietnam,VNM,2017,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Singapore,SGP,2017,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Thailand,THA,2017,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
India,IND,2017,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Indonesia,IDN,2017,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Philippines,PHL,2017,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Japan,JPN,2017,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
South Korea,KOR,2017,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Mexico,MEX,2017,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Germany,DEU,2017,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Netherlands,NLD,2017,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Malaysia,MYS,2022,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Vietnam,VNM,2022,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Singapore,SGP,2022,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Thailand,THA,2022,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
India,IND,2022,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Indonesia,IDN,2022,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Philippines,PHL,2022,0,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Japan,JPN,2022,1,1,1,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
South Korea,KOR,2022,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Mexico,MEX,2022,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Germany,DEU,2022,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
Netherlands,NLD,2022,1,0,0,selected_reviewed_candidate_events_only_not_exhaustive,evidence_only_not_scored,Zero means no positive finding in the selected reviewed candidate set; it does not establish no exposure outside that set.
