source_id,dataset_name,provider,source_tier,role,raw_artifact,grain,join_key_or_mapping,coverage,transformation,score_status,known_boundary,source_url,artifact_sha256_manifest
comtrade_hs8542,UN Comtrade HS8542 Reporter self-reported trade,United Nations Statistics Division,official_external_trade_source,Core scored trade and concentration indicators N2-N4/V1-V2,data/raw/comtrade/*_HS8542_*.json,reporter x year x flow x partner x HS heading,UN M49 reporter/partner -> ISO3; reporter x target year,12 economies; 2017 and 2022; HS8542; imports and exports,Reporter self-reports only; real partner rows for shares/HHI; world total used as denominator; no mirror flows,core_score,Classification revision differs by reporter-year at the four-digit heading; six-digit subheadings are not mixed.,https://comtradeapi.un.org/,c443a4e908627c97e723dbcd7892696892b6d2ce81a8eff6bba841216a5780d3
unga_ideal_points,UNGA Voting Ideal Points / Voeten,Harvard Dataverse,contest_host_base_dataset,P1 relative alignment,data/raw/unga/IdealpointsJuly2025.tab,economy x General Assembly year,ISO3 x window year; three observations summarized per target year,2017 target uses 2016-2018; 2022 target uses 2021-2023,Mean absolute distance to China divided by summed mean distances to China and the United States,core_score,Centered windows are descriptive alignment measures; the 2022 value includes 2023 voting data and is not a no-look-ahead forecast.,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/LEJUQZ,c96806afe789f35e63bcf577247b8c47c7ba409438e16052296dda89f7b0d07f
atop_v5_1,ATOP v5.1,Alliance Treaty Obligations and Provisions project,contest_host_base_dataset,P2 observed defense obligation in 2017; 2018 structural cross-reference,data/raw/atop/atop_5.1_csv.zip,alliance dyad x year,COW state codes; US dyad x target year,Published dyad-year coverage ends 2018,Use the defense-obligation component; preserve broader alliance and clause fields for audit,core_score_2017_only; 2018_separate_reference,No ATOP 2022 observation; structural 2018 is not relabelled as 2022.,https://www.atopdata.org/,d0a42c85d62e215f004d67b092fa9e74003ce978cbbfb3b37814fac01c0da040
p2_us_state_nato_2022,US formal defense treaties and NATO membership (2022 target-year reconstruction),US Department of State; NATO,official_external_policy_source,P2 target-year active formal defense tie for 2022,data/raw/p2/p2_official_2022_source.csv; data/raw/p2/state_treaties_in_force_2020.pdf; data/raw/p2/state_tif_supplement_2021_2023.pdf,sample economy x target year,country + ISO3; one 2022 row per sample economy,12 economies; target year 2022; US State Treaties in Force 2020 plus 2021-2023 supplement; NATO accession chronology,Screen State treaty records and dated 2022 country documents for formal mutual/collective defense commitments; filter NATO membership by accession date; each row retains its evidence URLs and scope note,core_score_2022_with_source_break_disclosed,"Source construction differs from ATOP 2017. The archived State collective-defense inventory is not treated as a 2022 snapshot by itself; the 2020 TIF and 2021-2023 supplement plus target-year country evidence are retained. Zero means no qualifying tie found in the selected evidence, not absence of security cooperation.",https://www.state.gov/wp-content/uploads/2020/08/TIF-2020-Full-website-view.pdf; https://www.state.gov/wp-content/uploads/2023/06/TIF-Supplement-Report-2023.pdf; https://2009-2017.state.gov/s/l/treaty/collectivedefense/; https://www.nato.int/cps/en/natohq/opinions_212795.htm,477049b7d50a5b0f3a073c35b43d3736e278e025548003c1d1f5c22d16ad79b3
oas_mexico_treaty_status,Rio Treaty status for Mexico,Organization of American States,official_external_treaty_status_crosscheck,Resolve the ATOP/Mexico 2017 status disagreement,data/raw/p2/p2_official_2022_source.csv,treaty party status x effective date,Mexico; Rio Treaty cessation date 2004-09-06,Mexico P2 audit note; applies to 2017 active-status coding,Keep ATOP raw dyad value=1 but audited active-defense-tie P2=0,single_country_core_score_adjustment_2017,Raw ATOP evidence is retained next to the audited value so the exception is reversible and inspectable.,https://www.oas.org/juridico/english/sigs/b-29.html,2f565592353453ec99fdb7077c7f5744b2296fdff0b510dca2c98fcdbef8b6ca
oecd_tiva_2025,OECD TiVA 2025,Organisation for Economic Co-operation and Development,contest_host_base_dataset,N1 foreign value-added share in electronics exports,data/raw/tiva/oecd_tiva_exgr_fva_c26_27.csv,economy x year x activity x counterpart x unit,REF_AREA ISO3 x TIME_PERIOD,12 economies; annual values for 2017 and 2022,"EXGR_FVA, C26_27 computer/electronic/electrical equipment, counterpart World, percent of gross exports",core_score,C26_27 is broader than HS8542 and is not a semiconductor-only industry measure.,https://sdmx.oecd.org/,63fa89b0a1285d8a6418d246db1c49caa37a4cd6b59e42dcee22aa2e24ed0a09
bis_federal_register_reviewed_subset,"BIS Federal Register rules, selected manually reviewed candidates",US Department of Commerce / Federal Register,official_external_policy_evidence,"P3 event evidence overlay, not country-level legal risk score",data/raw/bis/documents/*; data/raw/bis/bis_p3_manual_review_completed_2017_2022.csv,rule document x event year; summarized to economy-year within reviewed candidate subset,Manual scope finding + sample economy + publication year,10 selected reviewed rules across 2017/2022; 24-row summary grid,Join only reviewed direct semiconductor-increase findings as scoped evidence; mention alone is not a target finding,evidence_only_non_exhaustive_not_scored,A zero is limited to the reviewed candidate subset and does not mean no BIS exposure in the full rule universe.,https://www.federalregister.gov/,aa7c9c6d17db4df97d6355b6ee46a3dfaecd418b92af4ace6d52fad48d81fbc3
imf_cdis_positions,IMF Coordinated Direct Investment Survey (now Direct Investment Positions by Counterpart Economy),International Monetary Fund; user-supplied official workbooks,official_external_capital_context,Separate China-related inward and outward capital-position context,data/raw/fdi/2017_inward.xlsx; data/raw/fdi/2017_outward.xlsx; data/raw/fdi/2021_inward.xlsx; data/raw/fdi/2021_outward.xlsx,reporting economy x year x direction x immediate counterpart,"ISO3/economy x observation year; 2017 -> target 2017 (lag 0), 2021 -> target 2022 (lag 1)",12 economies; 2017 and 2021 only; no supplied 2022 file,Keep reporting-economy inward and China-reported outward positions separate; values remain USD millions,non_scoring_context,"Not semiconductor-specific; immediate counterpart is not ultimate owner; reporting asymmetry, missing cells, and financial-center effects remain.",https://data.imf.org/Datasets/DIP,21de99030661f457543f29da3f96d350074ae2807c7e4b4a490aebe892afc3de
gdelt_us_china,GDELT US-China Bilateral Events Database,Risk Analysis Lab original database / GDELT,contest_host_original_database_screened,Macro event-background reference only,not downloaded; no event-level export in current project inputs,bilateral event; not the country-year observation unit used by the core panel,No country-year join performed,Described by the lab as covering 1979 onward,No values inferred from charts; no country-year value is created,context_only_not_joined,Current project has no downloadable event-level file to reproduce country-year values.,https://riskalab-databank.vercel.app/gdelt,
gta_csl_candidates,Global Trade Alert and US Consolidated Screening List,Global Trade Alert; US trade agencies,contest_host_library_candidates_screened,Future enterprise/product compliance linkage candidates,not downloaded; no enterprise/product historical matches in current project inputs,policy intervention / listed entity or product record,Would require real supplier/customer/product identifiers and historical snapshot mapping,Not integrated into current country-year panel,No hit counts or historical scores generated,candidate_not_integrated,"A country-level join would not establish company exposure without BOM, entity, or product linkage.",https://www.globaltradealert.org/; https://www.trade.gov/consolidated-screening-list,
