event_year,document_number,sample_country_literal_candidates,action_type,direction,semiconductor_relevance,manual_scope_finding,official_source,review_status
2017,2016-31833,India,Entity List removal,decrease,no_direct_semiconductor_finding,country appears as destination of removed entity; no country-wide technology control,https://www.federalregister.gov/documents/2017/01/10/2016-31833/addition-of-certain-persons-and-revisions-to-entries-on-the-entity-list-and-removal-of-a-person-from,reviewed
2017,2017-06228,Germany; India; Singapore,Entity List removals,decrease,no_direct_semiconductor_finding,removal action for entries under named destinations; not evidence of new semiconductor restriction,https://www.federalregister.gov/documents/2017/03/29/2017-06228/removal-of-certain-persons-from-the-entity-list,reviewed
2022,2022-04925,Singapore,Entity List additions,increase,not_semiconductor_specific_in_rule_scope,rule adds entities under Singapore destination in Russia sanctions action; no direct semiconductor target established for Singapore,https://www.federalregister.gov/documents/2022/03/09/2022-04925/further-imposition-of-sanctions-against-russia-with-the-addition-of-certain-entities-to-the-entity-list,reviewed
2022,2022-19910,Vietnam; Singapore; Thailand; India; Indonesia; Japan; Mexico; Germany; Netherlands,Russia/Belarus sanctions implementation,administrative_or_scope_wide,not_country_specific,sample-country literals occur in general scope text; no direct country-specific semiconductor restriction established,https://www.federalregister.gov/documents/2022/09/15/2022-19910/implementation-of-additional-sanctions-against-russia-and-belarus-under-the-export-administration-regulations-ear-and-refinements-to-existing-controls,reviewed
2022,2022-26622,Singapore,Entity List additions/removal,increase,not_semiconductor_specific_in_rule_scope,Singapore appears in candidate metadata but full text does not establish a direct semiconductor restriction on Singapore as a country,https://www.federalregister.gov/documents/2022/12/06/2022-26622/additions-of-entities-to-the-entity-list-removal-of-an-entity-from-the-entity-list,reviewed
2022,2022-27151,Japan,Entity List addition,increase,yes_direct,"Yangtze Memory Technologies (Japan) Inc. is added under Japan; rule concerns AI chips, integrated circuits and semiconductor entities; country-level score is evidence flag, not legal advice",https://www.federalregister.gov/documents/2022/12/19/2022-27151/additions-and-revisions-to-the-entity-list-and-conforming-removal-from-the-unverified-list,reviewed
2022,2022-04300,Japan; Germany; Netherlands,Russia sanctions / Entity List,increase,not_semiconductor_specific_in_rule_scope,"sample-country literals appear in destination or scope context, but no direct semiconductor target established",https://www.federalregister.gov/documents/2022/03/09/2022-04300/implementation-of-sanctions-against-russia-under-the-export-administration-regulations-ear,reviewed
2022,2022-11885,South Korea,Russia/Belarus sanctions revisions,administrative_or_scope_wide,not_country_specific,South Korea appears in scope text; no direct semiconductor restriction on the country established,https://www.federalregister.gov/documents/2022/06/02/2022-11885/export-administration-regulations-revisions-to-russia-and-belarus-sanctions-and-related-provisions,reviewed
2022,2022-14069,Vietnam; Singapore,Entity List additions/revisions/removals,increase,not_semiconductor_specific_in_rule_scope,country literals occur in full-text context but are not sufficient to establish direct semiconductor country exposure,https://www.federalregister.gov/documents/2022/07/01/2022-14069/addition-of-entities-revision-and-correction-of-entries-and-removal-of-entities-from-the-entity-list,reviewed
2022,2022-19415,Vietnam; Singapore; Thailand; India; Indonesia; Japan; Mexico; Germany; Netherlands,Entity List authorization,decrease,not_country_specific,authorization applies to entities on the Entity List in standards activities; not a new country-level semiconductor restriction,https://www.federalregister.gov/documents/2022/09/15/2022-19415/authorization-of-certain-items-to-entities-on-the-entity-list-in-the-context-of-specific-standards-activities,reviewed
